Player name               Age        Height(cm)      Weight(kg)     
Elie Okobo                21.0       190.5           86.18
Ivan Rabb                 22.0       208.28          99.79
Ivica Zubac               22.0       215.9           108.86
JaKarr Sampson            26.0       205.74          97.52
Jacob Evans               22.0       198.12          95.25
Isaiah Hartenstein        21.0       213.36          112.94
Grayson Allen             23.0       195.58          89.81
Guerschon Yabusele        23.0       203.2           117.93
Hamidou Diallo            20.0       195.58          89.81
Harry Giles III           21.0       208.28          108.86
Henry Ellenson            22.0       210.82          111.13
Ike Anigbogu              20.0       208.28          113.40
Isaac Bonga               19.0       203.2           81.65
Jake Layman               25.0       205.74          97.52
Zhou Qi                   23.0       215.9           95.25
Zhaire Smith              20.0       193.04          90.26
Furkan Korkmaz            22.0       200.66          91.63
Gary Trent Jr.            21.0       195.58          94.80
Georges Niang             27.0       200.66          104.33
Goga Bitadze              20.0       210.82          113.40
Grant Williams            21.0       198.12          107.05
Grayson Allen             24.0       193.04          89.81
Hamidou Diallo            21.0       195.58          91.63
Harry Giles III           22.0       210.82          108.86
Henry Ellenson            23.0       208.28          108.86
Ignas Brazdeikis          21.0       198.12          100.24
Isaac Bonga               20.0       203.2           81.65
Isaiah Hartenstein        22.0       213.36          113.40
Frank Ntilikina           21.0       193.04          90.72
Isaiah Roby               22.0       203.2           104.33
Frank Mason               26.0       180.34          86.18
Frank Jackson             22.0       190.5           92.99
Domantas Sabonis          24.0       210.82          108.86
Donovan Mitchell          23.0       185.42          97.52
Donte DiVincenzo          23.0       193.04          92.08
Dragan Bender             22.0       213.36          112.94
Dusty Hannahs             26.0       190.5           95.25
Dwayne Bacon              24.0       198.12          100.24
Dzanan Musa               21.0       205.74          98.43
Edmond Sumner             24.0       193.04          88.90
Elie Okobo                22.0       190.5           86.18
Eric Mika                 25.0       208.28          105.69
Eric Paschall             23.0       198.12          115.67
Ivica Zubac               23.0       213.36          108.86
Jaylen Nowell             20.0       193.04          91.17
Jayson Tatum              22.0       203.2           95.25
Jerome Robinson           23.0       193.04          86.18
Jevon Carter              24.0       185.42          90.72
Joe Chealey               24.0       193.04          86.18
John Collins              22.0       205.74          106.59
Jonah Bolden              24.0       203.2           102.06
Jonathan Isaac            22.0       210.82          104.33
Jordan Bell               25.0       203.2           97.98
Jordan Bone               22.0       190.5           81.65
Jaylen Brown              23.0       198.12          101.15
Jaxson Hayes              20.0       210.82          99.79
J.P. Macura               25.0       193.04          92.08
Ja Morant                 20.0       190.5           78.93
Jacob Evans               23.0       193.04          95.25
Jake Layman               26.0       203.2           94.80
Jakob Poeltl              24.0       215.9           111.13
Jalen Brunson             23.0       185.42          86.18
Jalen McDaniels           22.0       208.28          92.99
Jamal Murray              23.0       193.04          97.52
Jaren Jackson Jr.         20.0       210.82          109.77
Jarred Vanderbilt         21.0       205.74          97.07
Jarrell Brantley          24.0       195.58          113.40
Jarrett Allen             22.0       210.82          110.22
Jarrett Culver            21.0       198.12          88.45
Dillon Brooks             24.0       200.66          102.06
Dewan Hernandez           23.0       208.28          106.59
Bol Bol                   20.0       218.44          99.79
Brandon Clarke            23.0       203.2           97.52
Brandon Ingram            22.0       200.66          86.18
Bruce Brown               23.0       193.04          91.63
Bruno Fernando            21.0       205.74          108.86
Buddy Hield               27.0       193.04          99.79
Caleb Swanigan            23.0       205.74          117.93
Cam Reddish               20.0       203.2           98.88
Cameron Johnson           24.0       203.2           95.25
Caris LeVert              25.0       198.12          92.99
Ben Simmons               23.0       208.28          108.86
Carsen Edwards            22.0       180.34          90.72
Aaron Holiday             23.0       182.88          83.91
Abdel Nader               26.0       195.58          102.06
Admiral Schofield         23.0       195.58          109.32
Alen Smailagic            19.0       208.28          97.52
Alize Johnson             24.0       200.66          96.16
Allonzo Trier             24.0       193.04          90.72
Amile Jefferson           27.0       205.74          100.70
Anfernee Simons           21.0       190.5           82.10
Ante Zizic                23.0       208.28          120.66
Anzejs Pasecniks          24.0       218.44          103.87
Bam Adebayo               22.0       205.74          115.67
Chandler Hutchison        24.0       200.66          95.25
Darius Bazley             20.0       203.2           94.35
Darius Garland            20.0       185.42          87.09
Daryl Macon               24.0       187.96          83.91
De'Aaron Fox              22.0       190.5           83.91
De'Andre Hunter           22.0       200.66          102.06
De'Anthony Melton         22.0       187.96          90.72
DeAndre' Bembry           25.0       195.58          95.25
Deandre Ayton             21.0       210.82          113.40
Dejounte Murray           23.0       193.04          81.65
Dennis Smith Jr.          22.0       187.96          92.99
Denzel Valentine          26.0       193.04          99.79
Derrick White             25.0       193.04          86.18
Devon Hall                24.0       195.58          97.52
Devonte' Graham           25.0       185.42          88.45
Cheick Diallo             23.0       203.2           99.34
Chimezie Metu             23.0       205.74          102.06
Coby White                20.0       193.04          88.45
Cody Martin               24.0       195.58          92.99
Collin Sexton             21.0       185.42          86.18
D.J. Wilson               24.0       208.28          104.78
Damian Jones              25.0       210.82          111.13
Damyean Dotson            26.0       195.58          95.25
Daniel Gafford            21.0       208.28          106.14
Jordan Poole              21.0       193.04          88.00
Josh Hart                 25.0       195.58          97.52
Rui Hachimura             22.0       203.2           104.33
Sekou Doumbouya           19.0       203.2           104.33
Semi Ojeleye              25.0       198.12          108.86
Shai Gilgeous-Alexander   21.0       195.58          81.65
Shake Milton              23.0       195.58          92.99
Shamorie Ponds            22.0       182.88          79.38
Sindarius Thornwell       25.0       193.04          97.52
Skal Labissiere           24.0       208.28          106.59
Sterling Brown            25.0       195.58          99.34
Svi Mykhailiuk            23.0       200.66          92.99
T.J. Leaf                 23.0       208.28          100.70
Romeo Langford            20.0       193.04          97.98
Rodions Kurucs            22.0       205.74          103.42
OG Anunoby                22.0       200.66          105.23
Omari Spellman            22.0       203.2           111.13
P.J. Washington           21.0       200.66          104.33
Pascal Siakam             26.0       205.74          104.33
Patrick McCaw             24.0       200.66          82.10
Quinndary Weatherspoon    23.0       190.5           92.99
RJ Barrett                20.0       198.12          97.07
Robert Williams III       22.0       203.2           107.50
Tyrone Wallace            26.0       195.58          89.81
Vlatko Cancar             23.0       203.2           107.05
Wendell Carter Jr.        21.0       205.74          122.47
Wes Iwundu                25.0       198.12          88.45
Zach Collins              22.0       210.82          113.40
Zach Norvell Jr.          22.0       195.58          92.99
Zhaire Smith              21.0       190.5           92.99
Zion Williamson           19.0       198.12          128.82
Tyler Herro               20.0       195.58          88.45
Ty Jerome                 22.0       195.58          88.45
Talen Horton-Tucker       19.0       193.04          106.14
Taurean Prince            26.0       200.66          98.88
Terance Mann              23.0       195.58          97.52
Terrance Ferguson         22.0       198.12          86.18
Thomas Bryant             22.0       208.28          112.49
Thon Maker                23.0       213.36          100.24
Timothe Luwawu-Cabarrot   25.0       200.66          99.79
Tony Bradley              22.0       208.28          112.49
Trae Young                21.0       185.42          81.65
Tremont Waters            22.0       177.8           79.38
Troy Brown Jr.            20.0       198.12          97.52
Kevin Hervey              23.0       205.74          104.33
Kevin Huerter             21.0       200.66          86.18
Kevin Knox II             20.0       200.66          97.52
Kevin Porter Jr.          20.0       193.04          92.08
Khyri Thomas              24.0       190.5           95.25
Kostas Antetokounmpo      22.0       208.28          90.72
Kris Dunn                 26.0       190.5           92.99
Kyle Guy                  22.0       185.42          75.75
Kyle Kuzma                24.0       203.2           100.24
Landry Shamet             23.0       193.04          86.18
Lauri Markkanen           23.0       213.36          108.86
Lonzo Ball                22.0       198.12          86.18
Josh Jackson              23.0       203.2           93.89
Josh Okogie               21.0       193.04          96.62
Juancho Hernangomez       24.0       205.74          97.07
Justin Jackson            25.0       200.66          99.79
Justin James              23.0       200.66          86.18
Justin Patton             23.0       210.82          109.32
Justin Robinson           22.0       185.42          88.45
Justin Wright-Foreman     22.0       182.88          86.18
KZ Okpala                 21.0       203.2           97.52
Kadeem Allen              27.0       185.42          90.72
Keita Bates-Diop          24.0       203.2           103.87
Keldon Johnson            20.0       195.58          99.79
Lonnie Walker IV          21.0       195.58          92.53
Michael Porter Jr.        22.0       208.28          98.88
Mikal Bridges             23.0       198.12          94.80
Miles Bridges             22.0       198.12          102.06
Mitchell Robinson         22.0       213.36          108.86
Miye Oni                  22.0       195.58          93.44
Mo Bamba                  22.0       213.36          104.78
Monte Morris              25.0       187.96          83.01
Moritz Wagner             23.0       210.82          111.13
Nassir Little             20.0       195.58          99.79
Nickeil Alexander-Walker  21.0       195.58          92.99
Nicolas Claxton           21.0       210.82          97.52
Nigel Williams-Goss       25.0       187.96          86.18
Mfiondu Kabengele         22.0       205.74          113.40
Luka Doncic               21.0       200.66          104.33
Luka Samanic              20.0       208.28          102.97
Luke Kennard              24.0       195.58          93.44
Malcolm Brogdon           27.0       195.58          103.87
Malik Beasley             23.0       193.04          84.82
Malik Monk                22.0       190.5           90.72
Malik Newman              23.0       190.5           86.18
Melvin Frazier Jr.        23.0       195.58          97.52
Marial Shayok             24.0       195.58          89.81
Markelle Fultz            22.0       190.5           94.80
Matisse Thybulle          23.0       195.58          91.17
Marvin Bagley III         21.0       210.82          106.59
Marquese Chriss           22.0       205.74          108.86
Marques Bolden            22.0       208.28          112.94
Zion Williamson           20.0       200.66          128.82
Zeke Nnaji                20.0       205.74          108.86
Xavier Tillman            22.0       203.2           111.13
Frank Mason               27.0       180.34          86.18
Frank Ntilikina           22.0       193.04          90.72
Furkan Korkmaz            23.0       200.66          91.63
Gary Trent Jr.            22.0       195.58          94.80
Georges Niang             28.0       200.66          104.33
Goga Bitadze              21.0       210.82          113.40
Grant Riller              24.0       187.96          86.18
Grant Williams            22.0       198.12          107.05
Grayson Allen             25.0       193.04          89.81
Hamidou Diallo            22.0       195.58          91.63
Harry Giles III           23.0       210.82          108.86
Frank Jackson             23.0       190.5           92.99
Devonte' Graham           26.0       185.42          88.45
Didi Louzada              21.0       195.58          85.28
Dillon Brooks             25.0       200.66          102.06
Domantas Sabonis          25.0       210.82          108.86
Donovan Mitchell          24.0       185.42          97.52
Donte DiVincenzo          24.0       193.04          92.08
Dwayne Bacon              25.0       198.12          100.24
Dylan Windler             24.0       198.12          88.90
Edmond Sumner             25.0       193.04          88.90
Elijah Hughes             23.0       195.58          97.52
Eric Paschall             24.0       198.12          115.67
Henry Ellenson            24.0       208.28          108.86
Ignas Brazdeikis          22.0       198.12          100.24
Jaren Jackson Jr.         21.0       210.82          109.77
Jarred Vanderbilt         22.0       205.74          97.07
Jarrell Brantley          25.0       195.58          113.40
Jarrett Allen             23.0       210.82          110.22
Jarrett Culver            22.0       198.12          88.45
Jaxson Hayes              21.0       210.82          99.79
Jay Scrubb                20.0       195.58          99.79
Jaylen Brown              24.0       198.12          101.15
Jaylen Nowell             21.0       193.04          91.17
Jayson Tatum              23.0       203.2           95.25
Jerome Robinson           24.0       193.04          86.18
Jevon Carter              25.0       185.42          90.72
John Collins              23.0       205.74          106.59
James Wiseman             20.0       213.36          108.86
Immanuel Quickley         22.0       190.5           86.18
Isaac Bonga               21.0       203.2           81.65
Isaac Okoro               20.0       195.58          102.06
Isaiah Hartenstein        23.0       213.36          113.40
Isaiah Joe                21.0       193.04          74.84
Isaiah Roby               23.0       203.2           104.33
Isaiah Stewart            20.0       203.2           113.40
Ivica Zubac               24.0       213.36          108.86
Ja Morant                 21.0       190.5           78.93
Devin Vassell             20.0       195.58          90.72
Jaden McDaniels           20.0       205.74          83.91
Jahmi'us Ramsey           20.0       190.5           86.18
Jake Layman               27.0       203.2           94.80
Jakob Poeltl              25.0       215.9           111.13
Jalen Brunson             24.0       185.42          86.18
Jalen Harris              22.0       195.58          88.45
Jalen McDaniels           23.0       205.74          92.99
Jalen Smith               21.0       208.28          97.52
Jamal Murray              24.0       190.5           97.52
Devin Cannady             25.0       187.96          83.01
Desmond Bane              23.0       195.58          97.52
Ben Simmons               24.0       210.82          108.86
Bol Bol                   21.0       218.44          99.79
Brandon Clarke            24.0       203.2           97.52
Brandon Ingram            23.0       203.2           86.18
Bruce Brown               24.0       193.04          91.63
Bruno Fernando            22.0       205.74          108.86
Buddy Hield               28.0       193.04          99.79
CJ Elleby                 21.0       198.12          90.72
Cam Reddish               21.0       203.2           98.88
Cameron Johnson           25.0       203.2           95.25
Bam Adebayo               23.0       205.74          115.67
Aaron Holiday             24.0       182.88          83.91
Aaron Nesmith             21.0       195.58          97.52
Abdel Nader               27.0       195.58          102.06
Aleksej Pokusevski        19.0       213.36          86.18
Alen Smailagic            20.0       208.28          97.52
Alize Johnson             25.0       200.66          96.16
Anfernee Simons           22.0       190.5           82.10
Anthony Edwards           19.0       193.04          102.06
Anzejs Pasecniks          25.0       215.9           103.87
Armoni Brooks             23.0       190.5           88.45
Caris LeVert              26.0       198.12          92.99
Carsen Edwards            23.0       180.34          90.72
Darius Bazley             21.0       203.2           94.35
Darius Garland            21.0       185.42          87.09
De'Aaron Fox              23.0       190.5           83.91
De'Andre Hunter           23.0       203.2           102.06
De'Anthony Melton         23.0       187.96          90.72
DeAndre' Bembry           26.0       195.58          95.25
Deandre Ayton             22.0       210.82          113.40
Deividas Sirvydis         21.0       203.2           86.18
Dejounte Murray           24.0       193.04          81.65
Deni Avdija               20.0       205.74          95.25
Dennis Smith Jr.          23.0       187.96          92.99
Denzel Valentine          27.0       193.04          99.79
Derrick White             26.0       193.04          86.18
Daniel Oturu              21.0       203.2           108.86
Daniel Gafford            22.0       208.28          106.14
Cassius Stanley           21.0       195.58          86.18
Cassius Winston           23.0       185.42          83.91
Chandler Hutchison        25.0       198.12          95.25
Chimezie Metu             24.0       205.74          102.06
Chuma Okeke               22.0       198.12          103.87
Coby White                21.0       195.58          88.45
Cole Anthony              21.0       187.96          83.91
Collin Sexton             22.0       185.42          86.18
D.J. Wilson               25.0       208.28          104.78
Dakota Mathias            25.0       193.04          90.72
Damian Jones              26.0       210.82          111.13
Damyean Dotson            27.0       195.58          95.25
Cody Martin               25.0       195.58          92.99
Jordan Bell               26.0       203.2           97.98
Jordan Bone               23.0       187.96          81.65
Robert Franks             24.0       200.66          102.06
Robert Williams III       23.0       203.2           107.50
Robert Woodard II         21.0       198.12          106.59
Rodions Kurucs            23.0       205.74          103.42
Romeo Langford            21.0       193.04          97.98
Rui Hachimura             23.0       203.2           104.33
Saben Lee                 22.0       187.96          83.01
Saddiq Bey                22.0       200.66          97.52
Sam Merrill               25.0       193.04          92.99
Sekou Doumbouya           20.0       203.2           104.33
Semi Ojeleye              26.0       198.12          108.86
Shai Gilgeous-Alexander   22.0       198.12          81.65
Shake Milton              24.0       195.58          92.99
Reggie Perry              21.0       203.2           113.40
OG Anunoby                23.0       200.66          105.23
Obi Toppin                23.0       205.74          99.79
Onyeka Okongwu            20.0       203.2           106.59
P.J. Washington           22.0       200.66          104.33
Pascal Siakam             27.0       205.74          104.33
Patrick McCaw             25.0       200.66          82.10
Sindarius Thornwell       26.0       193.04          97.52
Paul Reed                 22.0       205.74          95.25
Payton Pritchard          23.0       185.42          88.45
Precious Achiuwa          21.0       203.2           102.06
Quinndary Weatherspoon    24.0       190.5           92.99
R.J. Hampton              20.0       193.04          79.38
RJ Barrett                21.0       198.12          97.07
Ray Spalding              24.0       205.74          102.06
Patrick Williams          19.0       200.66          97.52
Skylar Mays               23.0       193.04          92.99
Troy Brown Jr.            21.0       198.12          97.52
Ty Jerome                 23.0       195.58          88.45
Tyler Bey                 23.0       200.66          97.52
Tyler Herro               21.0       195.58          88.45
Tyrell Terry              20.0       187.96          72.57
Tyrese Haliburton         21.0       195.58          83.91
Tyrese Maxey              20.0       187.96          90.72
Udoka Azubuike            21.0       208.28          127.01
Vernon Carey Jr.          20.0       205.74          122.47
Vlatko Cancar             24.0       203.2           107.05
Wendell Carter Jr.        22.0       208.28          122.47
Wes Iwundu                26.0       198.12          88.45
Tremont Waters            23.0       177.8           79.38
Tre Jones                 21.0       185.42          83.91
Trae Young                22.0       185.42          81.65
Sterling Brown            26.0       195.58          99.34
Svi Mykhailiuk            24.0       200.66          92.99
T.J. Leaf                 24.0       208.28          100.70
Talen Horton-Tucker       20.0       193.04          106.14
Taurean Prince            27.0       200.66          98.88
Terance Mann              24.0       195.58          97.52
Terrance Ferguson         23.0       198.12          86.18
Theo Maledon              20.0       193.04          79.38
Thomas Bryant             23.0       208.28          112.49
Thon Maker                24.0       213.36          100.24
Timothe Luwawu-Cabarrot   26.0       200.66          99.79
Tony Bradley              23.0       208.28          112.49
Kenyon Martin Jr.         20.0       198.12          97.52
